title,source,country,year,description,sector,type,link
 Kenya National Energy Efficiency and Conservation Strategy," Kenya Ministry of Energy
",Kenya,2020,"The Kenya National Energy Efficiency and Conservation Strategy (2020) provides a framework to reduce energy intensity and promote sustainable consumption across all sectors of the economy. It sets targets to improve efficiency in industry, transport, buildings, and appliances, while expanding clean cooking solutions and reducing reliance on biomass. The strategy emphasizes regulatory reforms, awareness campaigns, and incentives to drive private sector participation. By aligning with Kenya’s Vision 2030 and climate commitments, it aims to cut greenhouse gas emissions, lower energy costs, and enhance competitiveness, positioning efficiency as a key pillar of Kenya’s green growth agenda.
",Energy,policy,https://unepccc.org/wp-content/uploads/2020/09/kenya-national-energy-efficiency-and-conservation-strategy-2020-1.pdf
KENYA ENERGY PROFILE,International Renewable Energy Agency (IRENA),Kenya,2025,"The IRENA Kenya Energy Profile (2025) highlights the country’s strong reliance on renewable energy and its leadership in clean power generation in Africa. In 2022, over 80% of electricity generation came from renewables, primarily geothermal, hydropower, wind, and solar. While modern renewables dominate electricity supply, traditional biomass remains significant in household energy use. The profile underscores Kenya’s progress toward universal access, yet notes challenges in expanding clean cooking and reducing dependence on biomass. With abundant geothermal and solar potential, Kenya is positioned to strengthen energy security, resilience, and sustainable development.
",Energy,report,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Kenya_Africa_RE_SP.pdf
TANZANIA NATIONAL CLIMATE CHANGE RESPONSE STRATEGY 2021-2026,Tanzania Ministry of Environment,Tanzania,2021,"Tanzania’s National Climate Change Response Strategy (2021–2026) provides a comprehensive roadmap for enhancing climate resilience and pursuing low-emission development. It aims to mainstream climate action across national and local plans, aligning with Vision 2025 and global commitments like the Paris Agreement. The strategy prioritizes adaptation in key sectors—agriculture, water, health, energy, and infrastructure—while promoting mitigation through renewable energy, sustainable land use, and forest conservation. It also emphasizes cross-cutting issues such as climate finance, capacity building, gender inclusion, and public-private partnerships to ensure inclusive, sustainable, and climate-smart development.",Climate Adaptation & Mitigation,policy,https://faolex.fao.org/docs/pdf/tan214815.pdf
Climate-Smart Agriculture in Tanzania,"Government of Tanzania
",Tanzania,2017,"Tanzania’s Climate-Smart Agriculture (CSA) profile (May 2017) outlines strategies to enhance agricultural productivity, resilience, and sustainability under changing climate conditions.
The report highlights viable CSA practices such as agroforestry, conservation agriculture, improved livestock management, and water harvesting. It emphasizes the need for site-specific approaches, stronger extension services, and better access to finance and markets. With agriculture contributing significantly to GDP and employing over half the population, CSA is positioned as a key pathway to reduce climate risks, improve food security, and support low-emission development. Institutional coordination and public-private partnerships are critical for scaling CSA nationwide.",Agriculture & Food Security,policy,https://eoai-africa.org/wp-content/uploads/2023/07/Tanzania_Climate-smart-agriculture.pdf
 Tazania Agriculture Climate Resilience Plan 2014-2019,Tanzania Ministry of Agriculture,Tanzania,2014,"Tanzania’s Agriculture Climate Resilience Plan (2014–2019) outlines strategic actions to safeguard agricultural productivity against climate risks and build long-term resilience.
The plan focuses on climate-smart practices, sustainable land and water management, early warning systems, and institutional capacity building. It targets vulnerable farming communities and promotes integration of climate adaptation into national and local agricultural policies. Key priorities include improving research and extension services, enhancing access to climate information, and mobilizing resources for implementation. The plan aligns with Tanzania’s broader development goals and international climate commitments, aiming to reduce vulnerability and support food security under changing climate conditions.",Agriculture & Food Security,policy,https://cdn.climatepolicyradar.org/navigator/TZA/2014/tanzania-agriculture-climate-resilience-plan_78b9785f764e974de562825a39a4c65b.pdf
Climate Change Impacts on Water Quality in Tanzania: A Comprehensive Review for Sustainable Water Resource Management,"Catherine Salim, Ghanima Chanzi, Neema Mpayo",Tanzania,2025,"This research paper provides a comprehensive review of how climate change is affecting water quality in Tanzania, with implications for sustainable water resource management.
Authored by Catherine Salim, Ghanima Chanzi, and Neema Mpayo, the study examines the links between rising temperatures, erratic rainfall, and increased pollution in surface and groundwater systems. It highlights key challenges such as eutrophication, salinization, and microbial contamination, particularly in urban and agricultural zones. The authors emphasize the need for integrated water resource management, improved monitoring systems, and climate-resilient infrastructure to safeguard public health and ecosystem services in the face of growing climate pressures.
",Water Management & Security,policy,https://www.iiste.org/Journals/index.php/JEES/article/view/63212/65328
Tanzania Snapshot on  Water and Climate, Global Water Partnership,Tanzania,2022,"The Tanzania Snapshot on Water and Climate provides a concise overview of the country’s water resources, climate vulnerabilities, and policy responses.
Tanzania faces increasing climate risks, including floods, droughts, and water scarcity, which threaten agriculture, health, and livelihoods. The snapshot highlights high water quality risks, moderate flood and drought risks, and limited access to improved water and sanitation services, especially in rural areas. It emphasizes the need for integrated water resource management, climate-resilient infrastructure, and stronger institutional coordination. The document also tracks progress toward SDG 6 and underscores the importance of gender equity, financing, and data systems in building water and climate resilience.
",Water Management & Security,report,https://www.gwp.org/contentassets/536c7e6e652f410195dfe6c98c419464/tanzania-snapshot-gwlp---web.pdf
"TANZANIA COUNTRY CLIMATE AND DEVELOPMENT REPORT
",World Bank Group,Tanzania,2024,"The Tanzania Country Climate and Development Report (2024) by the World Bank outlines how climate change threatens Tanzania’s growth, especially in agriculture, urban infrastructure, and natural resource management. It recommends climate-smart agriculture, resilient urban planning, clean energy, and improved water governance to reduce vulnerability and unlock green economic opportunities. With rising climate risks and rapid urbanization, the report urges integrated planning, targeted investments, and inclusive policies to support sustainable development and poverty reduction.",Climate Adaptation & Mitigation,report,https://openknowledge.worldbank.org/bitstreams/88aeb5df-33be-4ccc-8aca-2ad9d0f814bd/download
Tanzania National Energy Policy,Tanzania Ministry of Energy and Minerals,Tanzania,2015,"The Tanzania National Energy Policy (2015) sets out a framework to ensure reliable, affordable, and sustainable energy services while driving socio-economic growth. It emphasizes diversification of energy sources, including natural gas, coal, hydro, solar, wind, and biomass, alongside rural electrification and private sector participation. The policy promotes energy efficiency, clean cooking alternatives, and environmental safeguards, while strengthening governance and regulatory institutions. By targeting electricity, petroleum, gas, and renewables, the policy positions Tanzania to harness its abundant resources for energy security, sustainability, and inclusive development.
",Energy,policy,https://cdn.climatepolicyradar.org/navigator/TZA/2015/national-energy-policy-2015_ba6edf2428a948d6f61af62af8449898.pdf
"POLICY ROADMAP FOR 100% RENEWABLE ENERGY  
AND POVERTY ERADICATION  
IN TANZANIA", World Future Council,Tanzania,2017,"The Policy Roadmap for 100% Renewable Energy and Poverty Eradication in Tanzania (2017), developed by the World Future Council and partners, outlines a vision for universal energy access through a complete transition to renewables. It emphasizes decentralized solutions like solar home systems and mini-grids to reduce reliance on biomass and fossil fuels. The roadmap highlights socio-economic benefits including poverty reduction, job creation, and gender equity, while calling for stronger financing, policy frameworks, and community participation.
",Energy,report,https://www.worldfuturecouncil.org/wp-content/uploads/2017/05/Policy-Roadmap-Tanzania.pdf
TANZANIA ENERGY PROFILE,International Renewable Energy Agency (IRENA),Tanzania,2025,"The IRENA Tanzania Energy Profile (2025) outlines the country’s energy mix, highlighting its strong reliance on renewables and traditional biomass. In 2022, renewables contributed 78% of total electricity generation, mainly from hydropower, while solar and wind remain underutilized despite significant potential. Biomass continues to dominate household energy use, underscoring challenges in clean cooking and energy efficiency. The profile emphasizes Tanzania’s progress in expanding electricity access, yet notes persistent rural gaps. Diversification into modern renewables is seen as key to strengthening energy security, resilience, and sustainable development.
",Energy,report,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/United-Republic-of-Tanzania_Africa_RE_SP.pdf?rev=3447d53a7c0a4bdfbe12ef254b9bb2b9
Burundi National Adaptation Programmes of Action to Climate Change,"Burundi Ministry for Land Management, Tourism and Environment",Burundi,2007,"The National Adaptation Programme of Action (NAPA) for Burundi (2007) outlines the country’s urgent priorities for adapting to climate change impacts. Prepared by the Ministry for Land Management, Tourism and Environment with UNDP and GEF support, the plan identifies Burundi’s acute vulnerability to droughts, floods, soil erosion, and biodiversity loss, which threaten agriculture, water resources, energy, health, and natural ecosystems.
The NAPA emphasizes community-based adaptation, reforestation, erosion control, rainwater harvesting, climate-resilient crops, and renewable energy as immediate priorities. It also highlights the importance of early warning systems, institutional capacity building, and integration of climate resilience into national development strategies. Twelve priority projects were formulated to reduce vulnerability, safeguard livelihoods, and strengthen resilience, aligning with Burundi’s commitments under the UNFCCC and Kyoto Protocol.
",Climate Adaptation & Mitigation,policy,https://www.eac.int/index.php?option=com_documentmananger&task=download.document&file=bWFpbl9kb2N1bWVudHNfcGRmX0VBZnlSTXFzRGhZRVlLdW9LSHNnVkRNTmF0aW9uYWwgQWRhcHRhdGlvbiBQcm9ncmFtbWUgb2YgQWN0aW9uLUJ1cnVuZGk=&counter=623
WATER SECTOR AND CLIMATE RESILIENCE BUILDING SUPPORT PROGRAMME IN BURUNDI (PASEREC - PHASE 1) ,African development Bank (AFDB),Burundi,2024,"The Burundi Water Sector and Climate Resilience Building Support Programme (PASEREC Phase 1) aims to enhance access to safe water and strengthen climate resilience in vulnerable communities. Supported by the African Development Bank, it focuses on rehabilitating water infrastructure, promoting integrated watershed management, and building institutional capacity for climate risk planning. The program emphasizes inclusive participation, especially of women and youth, and supports climate-smart agriculture and disaster preparedness. It aligns with Burundi’s national development goals and contributes to regional and global climate commitments.",Water Management & Security,report,https://www.afdb.org/sites/default/files/documents/projects-and-operations/burundi_-_water_sector_and_climate_resilience_building_support_programme_paserec-phase_1_-_approved.pdf
BURUNDI THIRD NATIONAL COMMUNICATION ON CLIMATE CHANGE (TNCCC)/EXECUTIVE SUMMARY,Burundi Ministry of Environment,Burundi,2019,"Burundi’s Third National Communication on Climate Change (2019) outlines the country’s climate vulnerabilities, greenhouse gas emissions trends, and strategic adaptation and mitigation measures across key sectors.
The report highlights agriculture, energy, water resources, health, and infrastructure as the most climate-sensitive areas. Between 2005 and 2015, emissions rose due to deforestation and land conversion, with the agriculture and energy sectors as major contributors. Despite being a net carbon sink, Burundi’s sequestration capacity is declining. The document presents sector-specific adaptation strategies—such as conservation agriculture, improved livestock systems, renewable energy, and resilient infrastructure—and calls for enhanced public awareness, institutional coordination, and technology transfer to support climate-resilient development.
",Agriculture & Food Security,report,https://unfccc.int/sites/default/files/resource/Burundi%20TNC%20executive%20summary.pdf
BURUNDI: NATIONAL CLIMATE CHANGE PROFILE,African development Bank (AFDB),Burundi,2018,"Burundi’s National Climate Change Profile highlights the country’s acute vulnerability to climate risks, especially in agriculture, water resources, and public health.
The profile outlines rising temperatures, erratic rainfall, and increased frequency of floods and droughts, which threaten food security and rural livelihoods. It emphasizes limited adaptive capacity, high dependence on rain-fed farming, and weak institutional coordination. Key priorities include integrating climate resilience into national planning, strengthening early warning systems, and mobilizing climate finance. The document also stresses the importance of community-based adaptation, gender inclusion, and regional cooperation to address transboundary climate challenges.
",Climate Adaptation & Mitigation,report,https://www.preventionweb.net/media/93574/download?startDownload=20251116
